s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,12.0000000
0.5676644,-0.0057770,0.5676350,0.0101770,0.0000000,5.6766435,0.0000000,12.0000000
1.1353287,-0.0120840,1.1352643,0.0111106,-0.0082256,5.6766435,0.0000000,12.0000000
1.7029931,-0.0188061,1.7028888,0.0118421,-0.0064443,5.6766435,56.6719150,12.0000000
2.2706574,-0.0258623,2.2705093,0.0124305,-0.0051841,5.6766435,-0.0001688,12.0000000
2.8383218,-0.0331941,2.8381263,0.0129162,-0.0042792,5.6766435,-56.7665450,12.0000000
3.4059861,-0.0407593,3.4057403,0.0133273,-0.0036221,5.6766435,-113.5329319,12.0000000
3.9736505,-0.0485270,3.9733515,0.0136839,-0.0031420,5.6766435,-170.2993125,12.0000000
4.5413148,-0.0564744,4.5409602,0.0140008,-0.0027915,5.6766435,-227.0656852,12.0000000
5.1089792,-0.0644219,5.1085689,0.0140008,-0.0000000,5.6766435,-283.8320137,12.0000000
5.6766435,-0.0723694,5.6761776,0.0140008,0.0000000,5.6766435,-340.5983430,12.0000000
6.2443079,-0.0803168,6.2437863,0.0140008,-0.0000000,5.6766435,-397.3646988,12.0000000
6.8119722,-0.0882643,6.8113950,0.0140008,0.0000000,5.6766435,-454.1310722,12.0000000
7.3796366,-0.0962118,7.3790038,0.0140008,-0.0000000,5.6766435,-510.8974580,12.0000000
7.9473009,-0.2769344,7.9171321,0.3240008,-2.6876754,5.6766435,-570.6283606,12.0000000
8.5149653,-0.6132033,8.3744789,0.6340008,-2.6876754,5.6766435,-635.8154239,12.0000000
9.0826296,-1.0729610,8.7074438,0.9440008,-2.6876754,5.6766435,-701.8706107,12.0000000
9.6502940,-1.6123775,8.8842844,1.2540008,-2.6876754,5.6766435,-763.0305996,12.0000000
10.2179583,-2.1699237,8.9909853,1.3817068,-1.1220798,5.6766435,-804.8508311,12.0000000
10.7856227,-2.7281158,9.0942541,1.3878590,-0.0542032,5.6766435,-827.6403931,12.0000000
11.3532870,-3.2863498,9.1972955,1.3882662,-0.0035870,5.6766435,-846.5224978,12.0000000
11.9209514,-3.8445839,9.3003370,1.3882662,-0.0000000,5.6766435,-868.1675655,12.0000000
12.4886157,-4.4028180,9.4033784,1.3882662,0.0000000,5.6766435,-892.6969529,12.0000000
13.0562801,-4.9610521,9.5064199,1.3882662,0.0000000,5.6766435,-919.9133492,12.0000000
13.6239444,-5.5192861,9.6094614,1.3882662,-0.0000000,5.6766435,-949.5987737,12.0000000
14.1916088,-6.0775202,9.7125028,1.3882662,-0.0000000,5.6766435,-981.5414779,12.0000000
14.7592731,-6.6357543,9.8155443,1.3882662,0.0000000,5.6766435,-1015.5397558,12.0000000
15.3269375,-7.1939883,9.9185857,1.3882662,-0.0000000,5.6766435,-1051.4044310,12.0000000
15.8946019,-7.7522224,10.0216272,1.3882662,0.0000000,5.6766435,-1088.9602452,12.0000000
16.4622662,-8.3104565,10.1246687,1.3882662,0.0000000,5.6766435,-1128.0463940,12.0000000
17.0299306,-8.8686905,10.2277101,1.3882662,-0.0000000,5.6766435,-1168.5164344,12.0000000
17.5975949,-9.4269246,10.3307516,1.3882662,0.0000000,5.6766435,-1210.2377626,12.0000000
18.1652593,-9.9851587,10.4337930,1.3882662,0.0000000,5.6766435,-1253.0908166,12.0000000
18.7329236,-10.5433927,10.5368345,1.3882662,0.0000000,5.6766435,-1296.9681250,12.0000000
19.3005880,-11.1016268,10.6398760,1.3882662,-0.0000000,5.6766435,-1341.7732872,12.0000000
19.8682523,-11.6598609,10.7429174,1.3882662,-0.0000000,5.6766435,-1387.4199472,12.0000000
20.4359167,-12.2180949,10.8459589,1.3882662,-0.0000000,5.6766435,-1433.8307992,12.0000000
21.0035810,-12.7763290,10.9490004,1.3882662,0.0000000,5.6766435,-1480.9366505,12.0000000
21.5712454,-13.3345631,11.0520418,1.3882662,-0.0000000,5.6766435,-1528.6755539,12.0000000
22.1389097,-13.8927971,11.1550833,1.3882662,0.0000000,5.6766435,-1576.9920164,12.0000000
22.7065741,-14.4510312,11.2581247,1.3882662,-0.0000000,5.6766435,-1625.8362843,12.0000000
23.2742384,-15.0092653,11.3611662,1.3882662,-0.0000000,5.6766435,-1675.1637024,12.0000000
23.8419028,-15.5674993,11.4642077,1.3882662,0.0000000,5.6766435,-1724.9341423,12.0000000
24.4095671,-16.1257334,11.5672491,1.3882662,-0.0000000,5.6766435,-1775.1114948,12.0000000
24.9772315,-16.6839675,11.6702906,1.3882662,-0.0000000,5.6766435,-1825.6632206,12.0000000
25.5448958,-17.2422015,11.7733320,1.3882662,0.0000000,5.6766435,-1876.5599533,12.0000000
26.1125602,-17.8004356,11.8763735,1.3882662,-0.0000000,5.6766435,-1927.7751481,12.0000000
26.6802245,-18.3586697,11.9794150,1.3882662,-0.0000000,5.6766435,-1979.2847734,12.0000000
27.2478889,-18.9169037,12.0824564,1.3882662,0.0000000,5.6766435,-2031.0670371,12.0000000
27.8155532,-19.4751378,12.1854979,1.3882662,-0.0000000,5.6766435,-2083.1021469,12.0000000
