#{"t_start": 1779012130.100302, "env_id": "f110-v0"}
r,l,t,is_success
4476.133664,1247,234.705998,Fal50993487.903067,990,236.529275,Fal11529.49238,3160,240.128567,False
42.714413,57,240.330095,False
1951.150451,590,241.626236,False
5056.47425,1406,444.325604,False
1776.909645,563,445.612128,False
62.608997,70,445.833164,False
361.558108,153,446.166344,False
2036.996496,632,447.80496,False
708.078473,248,643.660847,False
1974.68586,662,645.025733,False
1397.688534,465,646.063222,False
4735.584388,1461,649.228311,False
12.934237,57,649.566737,False
2207.842649,721,651.001858,False
9565.618063,6000,866.513908,False
7975.638942,2429,871.248394,False
2295.218862,736,872.462476,False
843.921527,280,873.102826,False
76.14944,75,873.339989,False
46.555494,63,1069.926592,False
1254.246036,438,1070.932177,False
2041.31635,630,1072.333683,False
16.195246,49,1072.659169,False
4365.326426,1408,1075.420617,False
53.122003,75,1075.772398,False
368.08397,145,1076.474744,False
927.417057,292,1077.397487,False
47.899078,60,1077.6083,False
417.964495,157,1264.624488,False
1869.191082,586,1265.95318,False
507.786979,181,1266.339212,False
42.660693,64,1266.545408,Fa1746.1126.248886,388,1267.589607,Fa1899.-194.826271,1129,1270.195841,4168.278514,1345,1271.501752,False
e
996.615876,316,1271.246535,False
.978338,330,1077.814669,False
3587.75311,1097,1266.957741,False
2780.686955,933,1268.914071,False
406.042953,169,1269.279276,False
19.808636,61,1269.49033,False
52.072209,72,1269.709601,False
953.335952,334,1270.667492,False
2684,False
1395.407193,447,1270.98941,False
,Fal359.223642,307,57.17108,False
-8.9454.511567,284,58.078732,F1014.580267,519,60.754702,False
512.868861,335,62.421774,False
752.621008,362,63.868731,False
-5.339727,76,65.521625,False
-15.318248,86,65.782273,False
17.892313,84,66.158314,False
12.091414,86,66.580021,False
-0.778331,77,66.824075,False
-0.598715,82,67.265594,False
-9.699641,108,67.800273,False
162.869392,133,68.756445,False
-32.242937,96,69.397283,False
398.584369,265,71.981826,False
489.883812,299,73.315509,False
-16.628205,87,73.696639,False
237.238015,200,74.590358,False
765.404453,348,76.370916,False
333.862669,161,78.268371,False
207.089919,152,78.896762,False
15.025803,78,79.514092,False
183.150746,128,80.340616,False
24.238272,84,80.97605,False
232.77105,194,81.799795,False
569.405851,322,84.423257,False
0.215139,73,84.909414,False
546.400401,274,85.82067,False
474.530881,250,86.936104,False
-14.320891,83,87.435161,False
13.211927,78,87.811001,False
33.81616,89,88.068628,False
-12.78937,70,88.433908,False
19.694015,89,88.815265,False
22.239957,70,90.252503,False
969.714112,395,91.115401,Fals844701.845594,337,92.02989,False592.793607,258,93.407643,False
19.551514,92,93.799706,False
631.95551,313,95.792413,False1338.828795,507,96.338873,Fals37.811.160299,349,97.683827,Fa1130.560.748281,284,98.756256,False
-14.254971,78,100.137836,False
54.716068,76,100.622995,False
854.720602,354,101.784727,False
-19.408846,71,102.016739,False
-31.333549,78,102.2630507.561415-1.079309,69,102.8780292.671931,73,103.481503,False
40.614336,72,103.985575,False
-2.45138142.430624,85,104.46825101.588456,113,105.137342,False
562.07781124.288147,441,107.78330953.143372,387,108.932874,False
