s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,15.0000000
0.5676644,0.0056495,0.5676362,-0.0099524,0.0000000,5.6766435,0.0000000,15.0000000
1.1353287,0.0107754,1.1352774,-0.0090298,-0.0081281,5.6766435,0.0000000,15.0000000
1.7029931,0.0154919,1.7029222,-0.0083088,-0.0063529,5.6766435,56.6731315,15.0000000
2.2706574,0.0198799,2.2705696,-0.0077300,-0.0050988,5.6766435,-0.0001640,15.0000000
2.8383218,0.0239974,2.8382190,-0.0072534,-0.0041994,5.6766435,-56.7665414,15.0000000
3.4059861,0.0278863,3.4058700,-0.0068508,-0.0035468,5.6766435,-113.5329293,15.0000000
3.9736505,0.0315774,3.9735224,-0.0065024,-0.0030701,5.6766435,-170.2993113,15.0000000
4.5413148,0.0350932,4.5411759,-0.0061934,-0.0027219,5.6766435,-227.0656858,15.0000000
5.1089792,0.0386090,5.1088293,-0.0061934,0.0000000,5.6766435,-283.8320183,15.0000000
5.6766435,0.0421247,5.6764828,-0.0061934,-0.0000000,5.6766435,-340.5983516,15.0000000
6.2443079,0.0456405,6.2441363,-0.0061934,0.0000000,5.6766435,-397.3647105,15.0000000
6.8119722,0.0491562,6.8117897,-0.0061934,-0.0000000,5.6766435,-454.1310863,15.0000000
7.3796366,0.0526720,7.3794432,-0.0061934,0.0000000,5.6766435,-510.8974739,15.0000000
7.9473009,-0.1171474,7.9211111,0.3038066,-2.6876754,5.6766435,-570.6279958,15.0000000
8.5149653,-0.4441127,8.3851548,0.6138066,-2.6876754,5.6766435,-635.8147832,15.0000000
9.0826296,-0.8970532,8.7273357,0.9238066,-2.6876754,5.6766435,-701.8701163,15.0000000
9.6502940,-1.4327888,8.9150326,1.2338066,-2.6876754,5.6766435,-763.0305636,15.0000000
10.2179583,-1.9882669,9.0320235,1.3632171,-1.1369727,5.6766435,-804.9452929,15.0000000
10.7856227,-2.5462618,9.1363527,1.3859588,-0.2003459,5.6766435,-828.6360614,15.0000000
11.3532870,-3.1047086,9.2382348,1.3903427,-0.0386231,5.6766435,-847.6218202,15.0000000
11.9209514,-3.6632506,9.3395937,1.3912792,-0.0082514,5.6766435,-868.3397274,15.0000000
12.4886157,-4.2217926,9.4409527,1.3912792,-0.0000000,5.6766435,-891.7348198,15.0000000
13.0562801,-4.7803346,9.5423117,1.3912792,0.0000000,5.6766435,-917.8319277,15.0000000
13.6239444,-5.3388766,9.6436707,1.3912792,0.0000000,5.6766435,-946.4654241,15.0000000
14.1916088,-5.8974186,9.7450297,1.3912792,-0.0000000,5.6766435,-977.4246566,15.0000000
14.7592731,-6.4559606,9.8463887,1.3912792,0.0000000,5.6766435,-1010.5072511,15.0000000
15.3269375,-7.0145026,9.9477477,1.3912792,-0.0000000,5.6766435,-1045.5220411,15.0000000
15.8946019,-7.5730446,10.0491067,1.3912792,-0.0000000,5.6766435,-1082.2908525,15.0000000
16.4622662,-8.1315867,10.1504657,1.3912792,0.0000000,5.6766435,-1120.6493711,15.0000000
17.0299306,-8.6901287,10.2518247,1.3912792,-0.0000000,5.6766435,-1160.4473149,15.0000000
17.5975949,-9.2486707,10.3531836,1.3912792,0.0000000,5.6766435,-1201.5481130,15.0000000
18.1652593,-9.8072127,10.4545426,1.3912792,-0.0000000,5.6766435,-1243.8282547,15.0000000
18.7329236,-10.3657547,10.5559016,1.3912792,-0.0000000,5.6766435,-1287.1764389,15.0000000
19.3005880,-10.9242967,10.6572606,1.3912792,0.0000000,5.6766435,-1331.4926208,15.0000000
19.8682523,-11.4828387,10.7586196,1.3912792,-0.0000000,5.6766435,-1376.6870243,15.0000000
20.4359167,-12.0413807,10.8599786,1.3912792,0.0000000,5.6766435,-1422.6791674,15.0000000
21.0035810,-12.5999227,10.9613376,1.3912792,-0.0000000,5.6766435,-1469.3969302,15.0000000
21.5712454,-13.1584647,11.0626966,1.3912792,-0.0000000,5.6766435,-1516.7756840,15.0000000
22.1389097,-13.7170067,11.1640556,1.3912792,0.0000000,5.6766435,-1564.7574901,15.0000000
22.7065741,-14.2755487,11.2654146,1.3912792,-0.0000000,5.6766435,-1613.2903710,15.0000000
23.2742384,-14.8340907,11.3667736,1.3912792,0.0000000,5.6766435,-1662.3276542,15.0000000
23.8419028,-15.3926327,11.4681325,1.3912792,0.0000000,5.6766435,-1711.8273838,15.0000000
24.4095671,-15.9511747,11.5694915,1.3912792,-0.0000000,5.6766435,-1761.7517971,15.0000000
24.9772315,-16.5097167,11.6708505,1.3912792,0.0000000,5.6766435,-1812.0668592,15.0000000
25.5448958,-17.0682587,11.7722095,1.3912792,0.0000000,5.6766435,-1862.7418507,15.0000000
26.1125602,-17.6268007,11.8735685,1.3912792,-0.0000000,5.6766435,-1913.7490033,15.0000000
26.6802245,-18.1853427,11.9749275,1.3912792,0.0000000,5.6766435,-1965.0631776,15.0000000
27.2478889,-18.7438847,12.0762865,1.3912792,0.0000000,5.6766435,-2016.6615789,15.0000000
27.8155532,-19.3024268,12.1776455,1.3912792,-0.0000000,5.6766435,-2068.5235056,15.0000000
28.3832176,-19.8609688,12.2790045,1.3912792,0.0000000,5.6766435,-2120.6301275,15.0000000
28.9508819,-20.4195108,12.3803635,1.3912792,-0.0000000,5.6766435,-2172.9642900,15.0000000
29.5185463,-20.9780528,12.4817224,1.3912792,0.0000000,5.6766435,-2225.5103399,15.0000000
30.0862106,-21.5365948,12.5830814,1.3912792,-0.0000000,5.6766435,-2278.2539729,15.0000000
30.6538750,-22.0951368,12.6844404,1.3912792,-0.0000000,5.6766435,-2331.1820966,15.0000000
31.2215394,-22.6536788,12.7857994,1.3912792,0.0000000,5.6766435,-2384.2827104,15.0000000
31.7892037,-23.2122208,12.8871584,1.3912792,-0.0000000,5.6766435,-2437.5447980,15.0000000
32.3568681,-23.7707628,12.9885174,1.3912792,0.0000000,5.6766435,-2490.9582323,15.0000000
32.9245324,-24.3293048,13.0898764,1.3912792,-0.0000000,5.6766435,-2544.5136903,15.0000000
33.4921968,-24.8384720,13.3408575,1.1128249,2.4217014,5.6766435,-2595.3019224,15.0000000
34.0598611,-25.2844441,13.6920722,0.9037078,1.8289973,5.6766435,-2650.0528885,15.0000000
34.6275255,-25.6727289,14.1061709,0.7532376,1.3206994,5.6766435,-2708.9391735,15.0000000
35.1951898,-26.0144771,14.5594379,0.6460349,0.9426857,5.6766435,-2767.0679108,15.0000000
35.7628542,-26.3203044,15.0376769,0.5689488,0.6784843,5.6766435,-2822.8172587,15.0000000
36.3305185,-26.5986474,15.5324172,0.5124687,0.4973449,5.6766435,-2876.0893646,15.0000000
36.8981829,-26.8557960,16.0384976,0.4701210,0.3729870,5.6766435,-2927.2834677,15.0000000
37.4658472,-27.0963387,16.5526785,0.4375715,0.2867222,5.6766435,-2976.8734666,15.0000000
38.0335116,-27.3236091,17.0728621,0.4119103,0.2260595,5.6766435,-3025.2725756,15.0000000
38.6011759,-27.5400376,17.5976493,0.3911603,0.1828011,5.6766435,-3072.8068198,15.0000000
39.1688403,-27.7474060,18.1260820,0.3739562,0.1515675,5.6766435,-3119.7232234,15.0000000
39.7365046,-27.9470268,18.6574899,0.3593362,0.1288022,5.6766435,-3166.2057697,15.0000000
40.3041690,-28.1398682,19.1913953,0.3466088,0.1121302,5.6766435,-3212.3904986,15.0000000
40.8718333,-28.3266402,19.7274542,0.3352638,0.0999510,5.6766435,-3258.3776231,15.0000000
41.4394977,-28.5078544,20.2654172,0.3249145,0.0911796,5.6766435,-3304.2406585,15.0000000
42.0071620,-28.6838650,20.8051051,0.3152573,0.0850824,5.6766435,-3350.0331124,15.0000000
42.5748264,-28.8548959,21.3463918,0.3060440,0.0811713,5.6766435,-3395.7933250,15.0000000
43.1424907,-29.0210579,21.8891929,0.2970615,0.0791375,5.6766435,-3441.5479450,15.0000000
43.7101551,-29.2245419,22.4191335,0.3666160,-0.6123056,5.6766435,-3484.7417771,15.0000000
44.2778194,-29.4605628,22.9354057,0.4287953,-0.5474688,5.6766435,-3528.4533552,15.0000000
44.8454838,-29.7254289,23.4374901,0.4854307,-0.4987115,5.6766435,-3575.0648701,15.0000000
45.4131481,-30.0163182,23.9249593,0.5380141,-0.4630657,5.6766435,-3623.9667894,15.0000000
45.9808125,-30.3311003,24.3973522,0.5877881,-0.4383450,5.6766435,-3674.6968616,15.0000000
46.5484769,-30.6682009,24.8540862,0.6358205,-0.4230201,5.6766435,-3726.9005061,15.0000000
47.1161412,-31.0264968,25.2943894,0.6830678,-0.4161106,5.6766435,-3780.3017235,15.0000000
47.6838056,-31.4052360,25.7172362,0.7304283,-0.4171067,5.6766435,-3834.6818180,15.0000000
48.2514699,-31.8039742,26.1212791,0.7787903,-0.4259209,5.6766435,-3889.8637043,15.0000000
48.8191343,-32.3069627,26.3844242,1.0887903,-2.6876754,5.6766435,-3946.8065356,15.0000000
49.3867986,-32.8662503,26.4815852,1.3987903,-2.6876754,5.6766435,-4009.5404542,15.0000000
49.9544630,-33.4285184,26.4034993,1.7087903,-2.6876754,5.6766435,-4076.0172276,15.0000000
50.5221273,-33.9401644,26.1576107,2.0187903,-2.6876754,5.6766435,-4139.8730177,15.0000000
51.0897917,-34.3656257,25.7818109,2.2942945,-2.3967000,5.6766435,-4193.3307805,15.0000000
51.6574560,-34.7175754,25.3364187,2.4728549,-1.5648341,5.6766435,-4227.9598444,15.0000000
52.2251204,-35.0176565,24.8545534,2.5846137,-0.9825869,5.6766435,-4244.6775276,15.0000000
52.7927847,-35.2831281,24.3527889,2.6549558,-0.6192279,5.6766435,-4249.6928718,15.0000000
53.3604491,-35.5256222,23.8395254,2.7002224,-0.3986789,5.6766435,-4247.6941006,15.0000000
53.9281134,-35.7526356,23.3192296,2.7301765,-0.2638666,5.6766435,-4241.6071174,15.0000000
54.4957778,-35.9689807,22.7944081,2.7505911,-0.1798475,5.6766435,-4233.1828020,15.0000000
55.0634421,-36.1777828,22.2665402,2.7649219,-0.1262555,5.6766435,-4223.4767338,15.0000000
55.6311065,-36.3811065,21.7365380,2.7752793,-0.0912501,5.6766435,-4213.1402849,15.0000000
56.1987708,-36.5803423,21.2049856,2.7829809,-0.0678538,5.6766435,-4202.5866505,15.0000000
56.7664352,-36.7764448,20.6722694,2.7888690,-0.0518761,5.6766435,-4192.0854089,15.0000000
57.3340995,-36.9700813,20.1386518,2.7934941,-0.0407479,5.6766435,-4181.8173118,15.0000000
57.9017639,-37.1617263,19.6043158,2.7972239,-0.0328616,5.6766435,-4171.9067540,15.0000000
58.4694282,-37.3517212,19.0693908,2.8003102,-0.0271911,5.6766435,-4162.4414733,15.0000000
59.0370926,-37.5403147,18.5339701,2.8029287,-0.0230698,5.6766435,-4153.4847741,15.0000000
59.6047569,-37.7276888,17.9981215,2.8052053,-0.0200575,5.6766435,-4145.0832766,15.0000000
60.1724213,-37.9139764,17.4618941,2.8072324,-0.0178595,5.6766435,-4137.2719250,15.0000000
60.7400856,-38.0992729,16.9253235,2.8090799,-0.0162775,5.6766435,-4130.0772832,15.0000000
61.3077500,-38.2836448,16.3884345,2.8108026,-0.0151773,5.6766435,-4123.5197361,15.0000000
61.8754144,-38.4671347,15.8512434,2.8124450,-0.0144701,5.6766435,-4117.6149779,15.0000000
62.4430787,-38.6497646,15.3137593,2.8140454,-0.0140998,5.6766435,-4112.3750259,15.0000000
63.0107431,-38.8315381,14.7759850,2.8156384,-0.0140350,5.6766435,-4107.8089114,15.0000000
63.5784074,-39.1686998,14.3192960,2.5056384,2.6876754,5.6766435,-4086.3755856,15.0000000
64.1460718,-39.6291071,13.9872299,2.1956384,2.6876754,5.6766435,-4067.0629581,15.0000000
64.7137361,-40.1688681,13.8114434,1.8856384,2.6876754,5.6766435,-4069.1302321,15.0000000
65.2814005,-40.7365258,13.8086947,1.5756384,2.6876754,5.6766435,-4092.3495294,15.0000000
65.8490648,-41.2779638,13.9792460,1.2656384,2.6876754,5.6766435,-4134.1847154,15.0000000
66.4167292,-41.7685165,14.2649046,1.0434785,1.9412473,5.6766435,-4188.9500561,15.0000000
66.9843935,-42.2166347,14.6133768,0.9098424,1.1738802,5.6766435,-4247.7361858,15.0000000
67.5520579,-42.6355767,14.9964309,0.8301165,0.7016692,5.6766435,-4304.9913372,15.0000000
68.1197222,-43.0354568,15.3993437,0.7816204,0.4271009,5.6766435,-4359.7686951,15.0000000
68.6873866,-43.4229244,15.8142071,0.7512663,0.2673894,5.6766435,-4412.6013351,15.0000000
69.2550509,-43.8021881,16.2365836,0.7316691,0.1726469,5.6766435,-4464.1409485,15.0000000
69.8227153,-44.1759061,16.6638747,0.7186156,0.1150035,5.6766435,-4514.8758956,15.0000000
70.3903796,-44.5457779,17.0944994,0.7096494,0.0789936,5.6766435,-4565.1319075,15.0000000
70.9580440,-44.9129096,17.5274626,0.7033035,0.0559094,5.6766435,-4615.1188341,15.0000000
71.5257083,-45.2780352,17.9621189,0.6986791,0.0407422,5.6766435,-4664.9709657,15.0000000
72.0933727,-45.6416518,18.3980384,0.6952123,0.0305441,5.6766435,-4714.7745717,15.0000000
72.6610370,-46.0041023,18.8349278,0.6925405,0.0235396,5.6766435,-4764.5854639,15.0000000
73.2287014,-46.3656280,19.2725830,0.6904253,0.0186355,5.6766435,-4814.4399757,15.0000000
73.7963657,-46.7264008,19.7108589,0.6887064,0.0151443,5.6766435,-4864.3618220,15.0000000
74.3640301,-47.0865452,20.1496514,0.6872734,0.0126252,5.6766435,-4914.3664196,15.0000000
74.9316944,-47.4461519,20.5888846,0.6860487,0.0107902,5.6766435,-4964.4636431,15.0000000
75.4993588,-47.8052874,21.0285032,0.6849762,0.0094485,5.6766435,-5014.6596079,15.0000000
76.0670231,-48.1640000,21.4684670,0.6840146,0.0084720,5.6766435,-5064.9578406,15.0000000
76.6346875,-48.5223242,21.9087471,0.6831322,0.0077744,5.6766435,-5115.3600583,15.0000000
77.2023519,-48.8802836,22.3493239,0.6823040,0.0072974,5.6766435,-5165.8666945,15.0000000
77.7700162,-49.3269152,22.6996994,0.9055879,-1.9509060,5.6766435,-5212.0432962,15.0000000
78.3376806,-49.8485521,22.9236139,1.1653285,-2.2627625,5.6766435,-5261.2147993,15.0000000
78.9053449,-50.4125162,22.9883233,1.4565556,-2.5296986,5.6766435,-5319.2619945,15.0000000
79.4730093,-50.9694184,22.8783107,1.7658292,-2.6815799,5.6766435,-5384.0190839,15.0000000
80.0406736,-51.4672229,22.6054856,2.0721463,-2.6567567,5.6766435,-5450.1015260,15.0000000
80.6083380,-51.8698186,22.2052863,2.3532093,-2.4437912,5.6766435,-5510.0033452,15.0000000
